data_ora,distanza_cm,altezza_cm,percentuale,litri,volt_batteria,batteria_percentuale
2026-09-03T10:00:13+00:00,66.62,203.38,81.35,14236.86,0.70, 0
2026-09-03T10:02:13+00:00,66.61,203.39,81.35,14237.06,0.02, 0
2026-09-03T10:04:13+00:00,66.61,203.39,81.36,14237.46,1.09, 0
2026-09-03T10:06:13+00:00,66.67,203.33,81.33,14233.26,0.41, 0
2026-09-03T10:08:13+00:00,66.53,203.47,81.39,14242.86,0.00, 0
03/09/2026 13:58:02,192.64,77.36,30.94,5415.18,0.00, 0
03/09/2026 13:58:02,193.91,76.09,30.44,5326.35,0.94, 0
03/09/2026 13:58:10,193.90,76.10,30.44,5327.35,0.13, 0
03/09/2026 13:59:00,193.84,76.16,30.47,5331.55,0.00, 0
03/09/2026 14:00:00,194.28,75.72,30.29,5300.33,0.00, 0
03/09/2026 14:01:00,194.08,75.92,30.37,5314.14,0.00, 0
03/09/2026 15:24:34,63.41,206.59,82.63,14460.95,0.00, 0
03/09/2026 15:26:34,67.01,202.99,81.20,14209.25,0.00, 0
03/09/2026 15:28:34,194.70,75.30,30.12,5271.32,0.13, 0
03/09/2026 15:30:34,194.77,75.23,30.09,5266.32,0.00, 0
03/09/2026 15:32:34,194.94,75.06,30.02,5253.92,0.00, 0
03/09/2026 15:34:34,195.23,74.77,29.91,5233.71,0.00, 0
03/09/2026 15:36:34,194.86,75.14,30.06,5259.92,0.00, 0
03/09/2026 15:38:34,194.88,75.12,30.05,5258.32,0.00, 0
03/09/2026 15:40:34,73.95,196.05,78.42,13723.24,0.00, 0
03/09/2026 15:42:34,73.88,196.12,78.45,13728.25,0.00, 0
03/09/2026 15:44:34,73.84,196.16,78.46,13731.25,0.00, 0
03/09/2026 15:46:34,73.50,196.50,78.60,13755.26,0.46, 0
03/09/2026 15:48:34,73.68,196.32,78.53,13742.25,0.00, 0
